first name,last name,nickname,link,height(ft),weight(lb),reach(inch),stance,wins,losses,draws,belt,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc.,TD Def,Sub. Avg
Eldo Xavier,Dias,,http://ufcstats.com/fighter-details/ee5df903f80c6816,"5' 11""",180 lbs.,--,,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rafael,Dias,,http://ufcstats.com/fighter-details/b5abaa65f87938eb,"5' 9""",145 lbs.,--,Orthodox,17,12,2,0,1.13,27%,2.19,60%,3.17,47%,100%,1.2
Hacran,Dias,Barnabe,http://ufcstats.com/fighter-details/ed209f6618c82e41,"5' 8""",155 lbs.,"69.0""",Orthodox,23,6,1,0,2.08,41%,3.31,55%,2.50,39%,76%,0.5
Nick,Diaz,,http://ufcstats.com/fighter-details/f57a8a52ca401ed9,"6' 1""",185 lbs.,"76.0""",Southpaw,26,9,0,0,5.43,42%,3.56,61%,1.32,33%,60%,1.0
Nate,Diaz,,http://ufcstats.com/fighter-details/8355922d564b152c,"6' 0""",170 lbs.,"76.0""",Southpaw,21,12,0,0,4.62,45%,3.78,53%,1.19,30%,42%,1.4
Michael,Diaz,,http://ufcstats.com/fighter-details/5e7a48e469770615,--,260 lbs.,--,,1,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ryan,Diaz,,http://ufcstats.com/fighter-details/ceee5dd37253199a,--,145 lbs.,--,,13,14,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Adrian,Diaz,,http://ufcstats.com/fighter-details/bfa8f263815cfa2e,"5' 10""",145 lbs.,--,Southpaw,11,4,1,0,0.48,42%,3.84,51%,2.40,50%,0%,0.0
Mark,Dickman,Tricky,http://ufcstats.com/fighter-details/2482ef3331a82e75,"5' 9""",145 lbs.,--,,11,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Josh,Diekmann,The Freight Train,http://ufcstats.com/fighter-details/414bddf0c80c41e1,"5' 4""",246 lbs.,--,,15,8,0,0,0.28,5%,8.17,25%,0.00,0%,0%,0.0
Kyle,Dietz,,http://ufcstats.com/fighter-details/31da66df48c0c1a0,"5' 8""",135 lbs.,--,Orthodox,5,2,0,0,1.82,45%,2.08,62%,0.00,0%,0%,0.0
Seth,Dikun,,http://ufcstats.com/fighter-details/eb42d4febfafefd1,"5' 10""",135 lbs.,"69.0""",Orthodox,9,8,0,0,1.45,26%,2.18,55%,0.00,0%,45%,0.9
TJ,Dillashaw,,http://ufcstats.com/fighter-details/c849740a3ff51931,"5' 6""",125 lbs.,"67.0""",Orthodox,17,4,0,0,5.37,41%,3.03,65%,1.68,37%,86%,1.0
Ralph,Dillon,Rage,http://ufcstats.com/fighter-details/b4f7a2d8ecc5e0c3,"6' 2""",205 lbs.,--,Orthodox,0,2,1,0,0.34,14%,0.69,60%,0.00,0%,0%,0.0
Drew,Dimanlig,,http://ufcstats.com/fighter-details/cc2ad11b1f9d818b,--,185 lbs.,--,,3,4,0,0,3.70,73%,3.17,20%,0.00,0%,0%,0.0
Rodolfo Marques,Diniz,,http://ufcstats.com/fighter-details/2d2239d0f6fa83dd,"5' 6""",135 lbs.,--,,23,9,1,0,1.08,32%,2.36,33%,0.00,0%,50%,1.8
Helio,Dipp,,http://ufcstats.com/fighter-details/73eb2a552c92a821,"6' 5""",185 lbs.,--,Orthodox,6,3,0,0,0.60,25%,1.80,62%,0.00,0%,50%,0.0
Rico,DiSciullo,,http://ufcstats.com/fighter-details/ec7f7263bf36579b,"5' 8""",135 lbs.,--,Orthodox,9,2,0,0,1.71,33%,4.41,56%,0.00,0%,0%,0.0
Matt,Dixon,Magic,http://ufcstats.com/fighter-details/1db445a4468447d0,"5' 10""",170 lbs.,"75.0""",Switch,9,1,0,0,1.97,43%,4.56,37%,3.06,30%,0%,0.0
John,Dixson,Big John,http://ufcstats.com/fighter-details/ad4e9055bf8cd04d,"6' 0""",275 lbs.,--,Orthodox,15,22,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Anthony,Do,,http://ufcstats.com/fighter-details/7c9aeba0c4d4bd78,"5' 4""",125 lbs.,--,,4,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Russell,Doane,,http://ufcstats.com/fighter-details/f50d95223751e6ca,"5' 7""",135 lbs.,"70.0""",Orthodox,15,8,0,0,1.75,40%,1.68,53%,2.11,45%,52%,0.8
Drew,Dober,,http://ufcstats.com/fighter-details/519e4fe37ce9ff75,"5' 8""",155 lbs.,"70.0""",Southpaw,23,9,0,0,4.66,40%,4.12,55%,0.88,17%,58%,0.1
Shana,Dobson,Danger,http://ufcstats.com/fighter-details/122ac9b816d8b71c,"5' 6""",125 lbs.,"69.0""",Orthodox,4,4,0,0,3.63,36%,5.11,53%,1.00,50%,0%,0.0
David,Dodd,,http://ufcstats.com/fighter-details/c2a7623f398d9bd7,"6' 2""",200 lbs.,--,Orthodox,4,7,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John,Dodson,The Magician,http://ufcstats.com/fighter-details/99506df1af6c8b3b,"5' 3""",135 lbs.,"66.0""",Orthodox,22,12,0,0,3.20,40%,3.58,61%,0.71,28%,82%,0.0
Joe,Doerksen,El Dirte,http://ufcstats.com/fighter-details/dbaaf42313af90fa,"6' 0""",185 lbs.,"75.0""",Orthodox,51,16,0,0,1.43,42%,2.79,50%,2.02,33%,33%,2.3
Mike,Dolce,Skull Cracker,http://ufcstats.com/fighter-details/29b5791e51e7e832,"5' 11""",185 lbs.,--,,5,10,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Roman,Dolidze,,http://ufcstats.com/fighter-details/327d5f279895110d,"6' 2""",205 lbs.,"76.0""",Orthodox,8,0,0,0,3.64,53%,1.71,67%,2.34,60%,0%,2.3
Cameron,Dollar,,http://ufcstats.com/fighter-details/3bbcd63a016d9715,"5' 11""",155 lbs.,--,Orthodox,11,5,0,0,5.04,38%,2.94,61%,0.00,0%,0%,0.0
CB,Dollaway,The Doberman,http://ufcstats.com/fighter-details/5d7bdab5e03e3216,"6' 2""",185 lbs.,"76.0""",Orthodox,17,9,0,0,2.65,47%,2.58,54%,3.55,54%,62%,1.2
Dennis,Dombrow,,http://ufcstats.com/fighter-details/4145caa2c999fbac,--,145 lbs.,--,,7,5,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
OJ,Dominguez,,http://ufcstats.com/fighter-details/1a50e734bb54861a,--,--,--,,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John,Donaldson,J.T.,http://ufcstats.com/fighter-details/1c610f900f9884ab,"5' 8""",145 lbs.,--,,2,2,0,0,1.21,23%,4.22,51%,0.00,0%,0%,0.0
Cody,Donovan,Donnybrook,http://ufcstats.com/fighter-details/7bc96507e4b38d3b,"6' 3""",205 lbs.,"74.0""",Orthodox,8,5,0,0,5.61,59%,5.44,45%,1.67,28%,0%,1.7
Houston,Dorr,,http://ufcstats.com/fighter-details/312f47c3d2f83ffa,"6' 1""",210 lbs.,--,Orthodox,1,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rafael,Dos Anjos,,http://ufcstats.com/fighter-details/6a2f7c151031653d,"5' 8""",155 lbs.,"70.0""",Southpaw,30,13,0,0,3.49,46%,3.22,61%,1.93,37%,58%,0.6
Junior,Dos Santos,Cigano,http://ufcstats.com/fighter-details/63def5a5662a6917,"6' 4""",238 lbs.,"77.0""",Orthodox,21,9,0,0,4.49,47%,3.33,56%,0.30,50%,81%,0.1
Geronimo,dos Santos,Mondragon,http://ufcstats.com/fighter-details/b51f6791c794e289,"6' 3""",264 lbs.,--,Orthodox,39,19,0,0,1.09,33%,8.73,41%,0.00,0%,33%,0.0
Antonio,Dos Santos,Junior Alpha,http://ufcstats.com/fighter-details/81b8b3fb019dc69d,"5' 10""",185 lbs.,--,Orthodox,6,4,0,0,5.40,51%,3.94,43%,0.00,0%,100%,0.0
Anderson,Dos Santos,Berinja,http://ufcstats.com/fighter-details/bbc9ab95fa766493,"5' 5""",135 lbs.,"70.0""",Orthodox,21,8,0,0,2.66,28%,4.80,55%,1.30,18%,66%,0.9
