fight date,fight weightclass,win method,rounds,time,Winner,KD W,TD succeeded W,TD attempted W,TD % W,sub attempts W,pass W,str landed W,str total W,sig str landed W,sig str total W,sig str % W,dist str landed W,dist str total W,clinch str landed W,clinch str total W,ground str landed W,ground str total W,Loser,KD L,TD succeeded L,TD attempted L,TD % L,sub attempts L,pass L,str landed L,str total L,sig str landed L,sig str total L,sig str % L,dist str landed L,dist str total L,clinch str landed L,clinch str total L,ground str landed L,ground str total L
"November 28, 2020",Featherweight,U-DEC,3,5:00,Bill Algeo,0,4 , 13,30,1,0,28 , 65,23 , 53,43,19 , 45,1 , 3,3 , 5,Spike Carlyle,0,1 , 3,33,4,1,118 , 150,70 , 95,73,42 , 64,14 , 15,14 , 16
"November 28, 2020",Women's Bantamweight,U-DEC,3,5:00,Norma Dumont,0,0 , 2,0,2,0,47 , 169,42 , 164,25,37 , 156,5 , 8,0 , 0,Ashlee Evans-Smith,1,2 , 4,50,0,0,109 , 178,94 , 161,58,71 , 130,9 , 13,14 , 18
"November 28, 2020",Featherweight,KO/TKO,2,4:28,Jonathan Pearce,0,5 , 7,71,5,1,113 , 172,51 , 100,51,27 , 71,6 , 9,18 , 20,Kai Kamaka,0,1 , 3,33,1,1,48 , 84,47 , 83,56,44 , 79,2 , 3,1 , 1
"November 28, 2020",Bantamweight,SUB,1,4:35,Anderson Dos Santos,0,1 , 1,100,1,1,16 , 19,9 , 12,75,9 , 12,0 , 0,0 , 0,Martin Day,0,1 , 6,16,1,0,22 , 31,11 , 20,55,8 , 15,0 , 1,3 , 4
"November 28, 2020",Women's Flyweight,KO/TKO,3,4:10,Gina Mazany,1,7 , 12,58,7,1,106 , 216,72 , 162,44,41 , 114,13 , 18,18 , 30,Rachael Ostovich,0,0 , 1,0,0,0,49 , 106,41 , 95,43,34 , 87,7 , 8,0 , 0
"November 28, 2020",Flyweight,KO/TKO,1,0:44,Su Mudaerji,1,0 , 0,--,0,0,9 , 18,9 , 18,50,9 , 17,0 , 0,0 , 1,Malcolm Gordon,0,0 , 0,--,0,0,0 , 6,0 , 6,0,0 , 6,0 , 0,0 , 0
"November 28, 2020",Catch Weight,SUB,2,2:29,Nate Maness,0,0 , 1,0,1,1,63 , 120,55 , 112,49,47 , 102,8 , 10,0 , 0,Luke Sanders,1,1 , 2,50,0,0,38 , 75,33 , 70,47,28 , 62,3 , 5,2 , 3
"November 21, 2020",Flyweight,SUB,1,1:57,Deiveson Figueiredo,0,0 , 0,--,0,1,5 , 8,5 , 8,62,5 , 8,0 , 0,0 , 0,Alex Perez,0,0 , 2,0,0,0,6 , 14,6 , 14,42,5 , 13,0 , 0,1 , 1
"November 21, 2020",Women's Flyweight,U-DEC,5,5:00,Valentina Shevchenko,0,5 , 6,83,5,0,249 , 317,62 , 119,52,50 , 103,10 , 14,2 , 2,Jennifer Maia,0,1 , 2,50,1,0,94 , 152,36 , 88,40,23 , 73,11 , 12,2 , 3
"November 21, 2020",Welterweight,U-DEC,3,5:00,Tim Means,0,1 , 5,20,0,0,69 , 166,64 , 161,39,62 , 157,2 , 4,0 , 0,Mike Perry,0,0 , 1,0,1,2,143 , 207,128 , 192,66,121 , 184,6 , 7,1 , 1
"November 21, 2020",Women's Flyweight,U-DEC,3,5:00,Katlyn Chookagian,0,0 , 1,0,0,0,69 , 230,69 , 230,30,68 , 227,1 , 3,0 , 0,Cynthia Calvillo,0,1 , 4,25,1,0,60 , 197,60 , 197,30,59 , 196,1 , 1,0 , 0
"November 21, 2020",Light Heavyweight,KO/TKO,2,3:36,Paul Craig,0,0 , 0,--,4,0,25 , 46,10 , 28,35,9 , 26,0 , 0,1 , 2,Mauricio Rua,0,4 , 8,50,0,0,54 , 88,29 , 57,50,16 , 35,4 , 11,9 , 11
"November 21, 2020",Flyweight,KO/TKO,1,4:59,Brandon Moreno,0,2 , 2,100,2,2,53 , 73,16 , 34,47,12 , 28,0 , 0,4 , 6,Brandon Royval,0,0 , 0,--,0,0,24 , 62,17 , 52,32,15 , 50,0 , 0,2 , 2
"November 21, 2020",Middleweight,KO/TKO,2,0:18,Joaquin Buckley,2,0 , 2,0,0,0,59 , 96,43 , 80,53,33 , 67,3 , 3,7 , 10,Jordan Wright,0,0 , 1,0,0,0,36 , 66,18 , 47,38,16 , 44,2 , 3,0 , 0
"November 21, 2020",Women's Flyweight,KO/TKO,2,4:33,Antonina Shevchenko,0,1 , 3,33,1,0,94 , 128,39 , 57,68,8 , 12,5 , 6,26 , 39,Ariane Lipski,0,0 , 3,0,0,0,25 , 36,15 , 26,57,13 , 24,2 , 2,0 , 0
"November 21, 2020",Welterweight,U-DEC,3,5:00,Nicolas Dalby,0,0 , 2,0,0,0,105 , 222,83 , 199,41,81 , 197,2 , 2,0 , 0,Daniel Rodriguez,0,0 , 7,0,0,0,58 , 155,50 , 147,34,50 , 146,0 , 1,0 , 0
"November 21, 2020",Welterweight,U-DEC,3,5:00,Alan Jouban,0,0 , 1,0,0,2,169 , 332,168 , 331,50,150 , 305,18 , 26,0 , 0,Jared Gooden,0,1 , 1,100,1,0,101 , 211,100 , 210,47,90 , 195,10 , 14,0 , 1
"November 21, 2020",Middleweight,U-DEC,3,5:00,Kyle Daukaus,0,2 , 7,28,2,1,113 , 183,64 , 122,52,38 , 85,14 , 17,12 , 20,Dustin Stoltzfus,0,0 , 7,0,0,0,95 , 130,32 , 63,50,18 , 47,13 , 15,1 , 1
"November 21, 2020",Welterweight,KO/TKO,3,2:47,Sasha Palatnikov,1,1 , 9,11,1,0,115 , 224,99 , 206,48,58 , 150,16 , 22,25 , 34,Louis Cosce,0,1 , 1,100,1,0,160 , 275,125 , 237,52,82 , 180,25 , 33,18 , 24
"November 14, 2020",Lightweight,S-DEC,5,5:00,Rafael Dos Anjos,0,1 , 2,50,6,0,134 , 226,98 , 190,51,76 , 161,21 , 28,1 , 1,Paul Felder,0,6 , 22,27,1,0,155 , 231,92 , 162,56,61 , 125,26 , 29,5 , 8
"November 14, 2020",Welterweight,KO/TKO,1,0:30,Khaos Williams,0,0 , 0,--,0,0,2 , 2,2 , 2,100,2 , 2,0 , 0,0 , 0,Abdul Razak Alhassan,1,0 , 0,--,0,0,5 , 10,5 , 10,50,4 , 9,0 , 0,1 , 1
"November 14, 2020",Women's Strawweight,U-DEC,3,5:00,Ashley Yoder,0,2 , 4,50,2,3,151 , 184,26 , 42,61,12 , 25,3 , 3,11 , 14,Miranda Granger,0,0 , 0,--,0,0,87 , 107,33 , 51,64,15 , 32,14 , 15,4 , 4
"November 14, 2020",Catch Weight,KO/TKO,2,1:32,Sean Strickland,0,0 , 0,--,1,0,53 , 92,51 , 90,56,50 , 88,1 , 2,0 , 0,Brendan Allen,1,1 , 1,100,0,0,106 , 176,94 , 161,58,90 , 155,4 , 6,0 , 0
"November 14, 2020",Women's Strawweight,U-DEC,3,5:00,Cory McKenna,0,2 , 5,40,0,0,87 , 131,67 , 110,60,54 , 95,11 , 13,2 , 2,Kay Hansen,0,0 , 1,0,2,2,156 , 246,57 , 137,41,49 , 127,5 , 7,3 , 3
"November 14, 2020",Women's Strawweight,U-DEC,3,5:00,Kanako Murata,0,0 , 0,--,4,2,37 , 69,29 , 61,47,19 , 50,9 , 10,1 , 1,Randa Markos,0,4 , 9,44,0,0,79 , 95,29 , 43,67,11 , 22,1 , 3,17 , 18
"November 14, 2020",Bantamweight,S-DEC,3,5:00,Tony Gravely,0,1 , 4,25,7,0,108 , 165,76 , 128,59,69 , 117,4 , 6,3 , 5,Geraldo de Freitas,0,7 , 17,41,1,0,86 , 144,49 , 101,48,27 , 72,5 , 6,17 , 23
"November 14, 2020",Welterweight,U-DEC,3,5:00,Alex Morono,0,3 , 3,100,3,0,208 , 360,176 , 321,54,145 , 280,22 , 29,9 , 12,Rhys McKee,0,0 , 3,0,0,0,133 , 242,124 , 230,53,117 , 220,6 , 9,1 , 1
"November 14, 2020",Heavyweight,U-DEC,3,5:00,Don'Tale Mayes,0,1 , 2,50,1,0,80 , 158,59 , 135,43,54 , 126,5 , 6,0 , 3,Roque Martinez,0,1 , 2,50,1,0,96 , 152,58 , 111,52,54 , 107,4 , 4,0 , 0
"November 07, 2020",Light Heavyweight,SUB,3,1:49,Glover Teixeira,1,0 , 0,--,4,2,81 , 109,40 , 64,62,11 , 24,0 , 0,29 , 40,Thiago Santos,0,4 , 7,57,0,0,148 , 180,46 , 63,73,2 , 5,0 , 0,44 , 58
"November 07, 2020",Heavyweight,U-DEC,3,5:00,Andrei Arlovski,0,0 , 0,--,0,0,34 , 82,34 , 82,41,33 , 81,1 , 1,0 , 0,Tanner Boser,0,0 , 0,--,0,0,68 , 119,68 , 119,57,68 , 118,0 , 1,0 , 0
"November 07, 2020",Bantamweight,U-DEC,3,5:00,Raoni Barcelos,0,2 , 4,50,2,1,129 , 219,120 , 207,57,108 , 195,7 , 7,5 , 5,Khalid Taha,0,0 , 1,0,0,0,68 , 222,49 , 202,24,49 , 193,0 , 6,0 , 3
"November 07, 2020",Featherweight,KO/TKO,1,3:51,Giga Chikadze,1,0 , 1,0,0,0,8 , 16,8 , 16,50,4 , 10,0 , 0,4 , 6,Jamey Simmons,0,0 , 3,0,0,0,4 , 6,2 , 4,50,1 , 3,1 , 1,0 , 0
"November 07, 2020",Women's Strawweight,U-DEC,3,5:00,Yan Xiaonan,0,2 , 10,20,0,0,84 , 149,36 , 96,37,30 , 88,1 , 3,5 , 5,Claudia Gadelha,0,0 , 0,--,2,0,133 , 234,74 , 170,43,58 , 149,14 , 18,2 , 3
"November 07, 2020",Middleweight,KO/TKO,3,1:26,Trevin Giles,2,1 , 2,50,1,0,51 , 73,38 , 59,64,34 , 53,3 , 5,1 , 1,Bevon Lewis,0,0 , 6,0,0,0,60 , 113,26 , 75,34,21 , 69,5 , 6,0 , 0
"November 07, 2020",Heavyweight,SUB,1,4:48,Alexandr Romanov,0,2 , 5,40,2,1,10 , 12,6 , 7,85,0 , 0,3 , 4,3 , 3,Marcos Rogerio de Lima,0,0 , 0,--,0,0,27 , 39,18 , 29,62,12 , 22,5 , 6,1 , 1
"November 07, 2020",Featherweight,SUB,3,2:22,Darren Elkins,0,7 , 21,33,7,1,120 , 168,32 , 72,44,18 , 55,12 , 15,2 , 2,Eduardo Garagorri,0,0 , 0,--,0,0,48 , 90,36 , 78,46,30 , 69,3 , 4,3 , 5
"November 07, 2020",Welterweight,KO/TKO,3,2:03,Max Griffin,0,0 , 1,0,0,0,82 , 175,74 , 167,44,73 , 166,1 , 1,0 , 0,Ramiz Brahimaj,0,0 , 0,--,0,0,46 , 124,45 , 123,36,45 , 123,0 , 0,0 , 0
