fight date,fight weightclass,win method,rounds,time,Winner,KD W,TD succeeded W,TD attempted W,TD % W,sub attempts W,pass W,str landed W,str total W,sig str landed W,sig str total W,sig str % W,dist str landed W,dist str total W,clinch str landed W,clinch str total W,ground str landed W,ground str total W,Loser,KD L,TD succeeded L,TD attempted L,TD % L,sub attempts L,pass L,str landed L,str total L,sig str landed L,sig str total L,sig str % L,dist str landed L,dist str total L,clinch str landed L,clinch str total L,ground str landed L,ground str total L
"August 25, 2018",Middleweight,U-DEC,3,5:00,Andrew Sanchez,0,0 , 6,0,0,0,119 , 215,73 , 159,45,65 , 144,8 , 15,0 , 0,Markus Perez,0,0 , 1,0,0,0,67 , 137,54 , 122,44,41 , 104,13 , 18,0 , 0
"August 25, 2018",Welterweight,SUB,1,1:09,Mickey Gall,0,1 , 1,100,1,1,2 , 6,0 , 2,0,0 , 2,0 , 0,0 , 0,George Sullivan,0,0 , 0,--,0,0,5 , 5,0 , 0,--,0 , 0,0 , 0,0 , 0
"August 25, 2018",Women's Flyweight,SUB,1,4:57,Joanne Calderwood,0,0 , 0,--,0,2,24 , 29,5 , 6,83,1 , 2,0 , 0,4 , 4,Kalindra Faria,0,1 , 1,100,1,0,27 , 34,13 , 17,76,2 , 4,1 , 1,10 , 12
"August 25, 2018",Lightweight,U-DEC,3,5:00,Drew Dober,0,2 , 2,100,2,0,122 , 208,60 , 136,44,36 , 108,3 , 3,21 , 25,Jon Tuck,0,0 , 1,0,0,1,39 , 81,33 , 75,44,29 , 68,1 , 2,3 , 5
"August 25, 2018",Bantamweight,SUB,1,1:31,Rani Yahya,0,0 , 2,0,0,2,4 , 8,4 , 8,50,4 , 8,0 , 0,0 , 0,Luke Sanders,0,0 , 0,--,0,0,2 , 4,2 , 4,50,2 , 3,0 , 0,0 , 1
"August 04, 2018",Bantamweight,KO/TKO,1,4:10,TJ Dillashaw,2,0 , 0,--,0,0,51 , 78,45 , 72,62,16 , 38,15 , 16,14 , 18,Cody Garbrandt,0,0 , 2,0,0,0,17 , 43,17 , 43,39,14 , 39,3 , 4,0 , 0
"August 04, 2018",Flyweight,S-DEC,5,5:00,Henry Cejudo,0,1 , 2,50,3,0,121 , 174,81 , 134,60,73 , 125,7 , 8,1 , 1,Demetrious Johnson,0,3 , 11,27,1,0,80 , 178,51 , 147,34,31 , 120,17 , 22,3 , 5
"August 04, 2018",Featherweight,SUB,1,4:15,Renato Moicano,0,0 , 0,--,1,1,20 , 38,20 , 38,52,20 , 38,0 , 0,0 , 0,Cub Swanson,1,1 , 2,50,0,0,23 , 53,17 , 47,36,8 , 33,2 , 2,7 , 12
"August 04, 2018",Women's Strawweight,U-DEC,3,5:00,JJ Aldrich,0,1 , 5,20,0,0,86 , 175,46 , 129,35,37 , 116,6 , 8,3 , 5,Polyana Viana,0,0 , 1,0,1,0,50 , 96,40 , 83,48,31 , 73,7 , 8,2 , 2
"August 04, 2018",Middleweight,U-DEC,3,5:00,Thiago Santos,0,3 , 7,42,3,1,81 , 167,69 , 153,45,20 , 44,2 , 5,47 , 104,Kevin Holland,0,0 , 1,0,0,1,81 , 110,31 , 55,56,17 , 39,1 , 1,13 , 15
"August 04, 2018",Bantamweight,U-DEC,3,5:00,Pedro Munhoz,3,0 , 4,0,0,1,160 , 292,117 , 245,47,78 , 174,18 , 32,21 , 39,Brett Johns,0,0 , 6,0,0,0,82 , 180,73 , 168,43,65 , 158,8 , 10,0 , 0
"August 04, 2018",Bantamweight,U-DEC,3,5:00,Ricky Simon,0,7 , 20,35,7,0,44 , 75,25 , 53,47,18 , 44,7 , 8,0 , 1,Montel Jackson,0,2 , 2,100,2,0,55 , 107,42 , 94,44,23 , 66,16 , 23,3 , 5
"August 04, 2018",Bantamweight,S-DEC,3,5:00,Ricardo Ramos,0,1 , 2,50,1,1,63 , 157,54 , 146,36,50 , 140,1 , 2,3 , 4,Kyung Ho Kang,0,1 , 2,50,1,0,101 , 198,65 , 157,41,60 , 151,0 , 0,5 , 6
"August 04, 2018",Featherweight,U-DEC,3,5:00,Sheymon Moraes,0,0 , 3,0,0,0,79 , 237,77 , 235,32,67 , 220,10 , 15,0 , 0,Matt Sayles,0,0 , 4,0,0,0,77 , 177,73 , 172,42,64 , 161,9 , 11,0 , 0
"August 04, 2018",Flyweight,KO/TKO,1,3:46,Alex Perez,1,0 , 3,0,0,0,88 , 166,84 , 162,51,64 , 133,20 , 29,0 , 0,Jose Torres,0,0 , 0,--,0,0,30 , 77,29 , 76,38,25 , 71,4 , 5,0 , 0
"August 04, 2018",Women's Strawweight,U-DEC,3,5:00,Zhang Weili,0,0 , 1,0,1,0,35 , 124,34 , 123,27,31 , 120,3 , 3,0 , 0,Danielle Taylor,0,1 , 2,50,0,1,83 , 200,77 , 194,39,71 , 185,4 , 7,2 , 2
"August 04, 2018",Bantamweight,KO/TKO,2,4:53,Marlon Vera,1,1 , 4,25,1,0,59 , 102,45 , 86,52,30 , 67,8 , 9,7 , 10,Wuliji Buren,0,2 , 4,50,2,0,49 , 80,31 , 61,50,19 , 48,6 , 7,6 , 6
"July 28, 2018",Lightweight,KO/TKO,2,4:05,Dustin Poirier,0,0 , 3,0,0,2,35 , 88,26 , 76,34,21 , 67,1 , 3,4 , 6,Eddie Alvarez,1,0 , 0,--,0,1,76 , 138,54 , 115,46,47 , 108,7 , 7,0 , 0
"July 28, 2018",Featherweight,KO/TKO,1,4:19,Jose Aldo,1,0 , 0,--,0,0,29 , 63,29 , 63,46,16 , 41,1 , 1,12 , 21,Jeremy Stephens,0,0 , 0,--,0,0,20 , 60,20 , 60,33,16 , 52,4 , 8,0 , 0
"July 28, 2018",Women's Strawweight,U-DEC,3,5:00,Joanna Jedrzejczyk,0,0 , 0,--,0,0,81 , 185,62 , 166,37,40 , 134,22 , 32,0 , 0,Tecia Torres,0,0 , 10,0,0,0,54 , 100,33 , 78,42,29 , 73,4 , 5,0 , 0
"July 28, 2018",Lightweight,U-DEC,3,5:00,Alexander Hernandez,0,4 , 10,40,4,0,86 , 137,39 , 81,48,10 , 37,17 , 25,12 , 19,Olivier Aubin-Mercier,0,2 , 6,33,2,1,37 , 50,19 , 32,59,9 , 21,9 , 10,1 , 1
"July 28, 2018",Welterweight,U-DEC,3,5:00,Jordan Mein,0,3 , 4,75,3,0,27 , 53,14 , 38,36,6 , 26,0 , 0,8 , 12,Alex Morono,0,0 , 0,--,0,1,58 , 108,20 , 67,29,16 , 57,0 , 0,4 , 10
"July 28, 2018",Featherweight,U-DEC,3,5:00,Hakeem Dawodu,0,0 , 1,0,0,0,80 , 176,75 , 170,44,70 , 159,5 , 11,0 , 0,Austin Arnett,0,0 , 4,0,0,0,23 , 68,23 , 68,33,22 , 67,1 , 1,0 , 0
"July 28, 2018",Lightweight,SUB,1,4:43,Islam Makhachev,0,0 , 0,--,1,1,7 , 17,7 , 17,41,7 , 17,0 , 0,0 , 0,Kajan Johnson,0,1 , 1,100,0,0,14 , 26,7 , 18,38,1 , 9,0 , 0,6 , 9
"July 28, 2018",Light Heavyweight,KO/TKO,1,4:25,Ion Cutelaba,0,3 , 8,37,0,0,16 , 22,12 , 18,66,0 , 2,9 , 10,3 , 6,Gadzhimurad Antigulov,0,0 , 0,--,3,0,40 , 46,40 , 46,86,2 , 4,38 , 42,0 , 0
"July 28, 2018",Lightweight,U-DEC,3,5:00,John Makdessi,0,0 , 0,--,0,0,134 , 265,131 , 261,50,120 , 244,11 , 17,0 , 0,Ross Pearson,0,0 , 2,0,0,0,81 , 226,79 , 224,35,79 , 223,0 , 1,0 , 0
"July 28, 2018",Women's Flyweight,U-DEC,3,5:00,Katlyn Chookagian,0,1 , 2,50,0,0,77 , 208,70 , 201,34,66 , 196,4 , 5,0 , 0,Alexis Davis,0,0 , 0,--,1,0,62 , 202,62 , 202,30,61 , 201,1 , 1,0 , 0
"July 28, 2018",Flyweight,KO/TKO,1,3:49,Dustin Ortiz,1,0 , 0,--,0,0,8 , 43,8 , 43,18,5 , 36,0 , 0,3 , 7,Matheus Nicolau Pereira,0,0 , 0,--,0,0,7 , 16,7 , 16,43,7 , 16,0 , 0,0 , 0
"July 28, 2018",Women's Strawweight,U-DEC,3,5:00,Nina Ansaroff,0,1 , 11,9,0,0,30 , 79,23 , 72,31,17 , 61,0 , 0,6 , 11,Randa Markos,0,0 , 0,--,1,0,56 , 127,49 , 118,41,44 , 107,1 , 4,4 , 7
"July 28, 2018",Lightweight,KO/TKO,1,1:52,Devin Powell,1,0 , 1,0,0,0,12 , 26,12 , 26,46,10 , 24,0 , 0,2 , 2,Alvaro Herrera Mendoza,0,0 , 0,--,0,0,7 , 23,7 , 23,30,6 , 22,0 , 0,1 , 1
"July 22, 2018",Light Heavyweight,KO/TKO,1,1:29,Anthony Smith,0,0 , 0,--,0,0,4 , 12,4 , 12,33,4 , 12,0 , 0,0 , 0,Mauricio Rua,1,0 , 0,--,0,0,23 , 31,23 , 31,74,23 , 31,0 , 0,0 , 0
"July 22, 2018",Light Heavyweight,U-DEC,3,5:00,Corey Anderson,0,0 , 4,0,7,0,27 , 54,20 , 46,43,17 , 42,1 , 2,2 , 2,Glover Teixeira,0,7 , 19,36,0,1,88 , 140,48 , 97,49,31 , 69,5 , 16,12 , 12
"July 22, 2018",Middleweight,U-DEC,3,5:00,Abu Azaitar,0,3 , 4,75,1,0,63 , 91,19 , 45,42,12 , 34,3 , 3,4 , 8,Vitor Miranda,0,1 , 1,100,3,1,135 , 226,48 , 128,37,30 , 104,5 , 8,13 , 16
"July 22, 2018",Heavyweight,U-DEC,3,5:00,Marcin Tybura,0,5 , 7,71,5,0,87 , 123,41 , 68,60,19 , 42,0 , 0,22 , 26,Stefan Struve,0,0 , 0,--,0,0,33 , 81,31 , 78,39,27 , 73,3 , 3,1 , 2
"July 22, 2018",Welterweight,S-DEC,3,5:00,Danny Roberts,0,0 , 2,0,0,1,68 , 117,45 , 87,51,14 , 45,1 , 1,30 , 41,David Zawada,0,2 , 5,40,2,5,63 , 99,33 , 64,51,18 , 48,10 , 11,5 , 5
"July 22, 2018",Lightweight,U-DEC,3,5:00,Nasrat Haqparast,1,0 , 2,0,0,0,102 , 208,93 , 198,46,75 , 170,10 , 11,8 , 17,Marc Diakiese,0,0 , 4,0,0,0,50 , 220,50 , 220,22,49 , 218,1 , 2,0 , 0
"July 22, 2018",Lightweight,S-DEC,3,5:00,Damir Hadzovic,0,0 , 0,--,0,0,43 , 198,43 , 198,21,43 , 198,0 , 0,0 , 0,Nick Hein,1,0 , 0,--,0,0,71 , 155,71 , 155,45,68 , 152,2 , 2,1 , 1
"July 22, 2018",Welterweight,U-DEC,3,5:00,Bartosz Fabinski,0,0 , 0,--,6,0,69 , 115,21 , 65,32,14 , 56,3 , 5,4 , 4,Emil Meek,0,6 , 9,66,0,1,72 , 91,35 , 48,72,12 , 19,3 , 4,20 , 25
"July 22, 2018",Featherweight,U-DEC,3,5:00,Nad Narimani,0,0 , 0,--,6,0,59 , 91,32 , 57,56,21 , 41,7 , 11,4 , 5,Khalid Taha,0,6 , 11,54,0,0,67 , 97,45 , 69,65,14 , 32,5 , 7,26 , 30
"July 22, 2018",Light Heavyweight,U-DEC,3,5:00,Aleksandar Rakic,0,0 , 1,0,3,0,28 , 42,12 , 26,46,12 , 26,0 , 0,0 , 0,Justin Ledet,1,3 , 4,75,0,0,263 , 317,104 , 144,72,24 , 42,2 , 4,78 , 98
"July 22, 2018",Bantamweight,SUB,1,0:59,Manny Bermudez,0,0 , 0,--,0,2,4 , 6,4 , 6,66,4 , 6,0 , 0,0 , 0,Davey Grant,1,0 , 0,--,0,0,3 , 5,3 , 5,60,2 , 4,0 , 0,1 , 1
"July 22, 2018",Light Heavyweight,KO/TKO,1,3:13,Darko Stosic,0,0 , 1,0,0,0,4 , 16,4 , 16,25,4 , 16,0 , 0,0 , 0,Jeremy Kimball,0,0 , 0,--,0,0,9 , 17,9 , 16,56,1 , 5,0 , 0,8 , 11
"July 22, 2018",Bantamweight,U-DEC,3,5:00,Pingyuan Liu,0,3 , 8,37,1,2,30 , 55,24 , 49,48,14 , 37,4 , 4,6 , 8,Damian Stasiak,0,1 , 1,100,3,0,59 , 106,32 , 77,41,18 , 58,5 , 7,9 , 12
"July 14, 2018",Heavyweight,U-DEC,5,5:00,Junior Dos Santos,0,0 , 1,0,0,0,110 , 248,110 , 248,44,110 , 248,0 , 0,0 , 0,Blagoy Ivanov,0,0 , 0,--,0,0,51 , 229,51 , 229,22,49 , 227,2 , 2,0 , 0
"July 14, 2018",Welterweight,KO/TKO,2,3:13,Sage Northcutt,1,1 , 1,100,1,1,37 , 50,24 , 37,64,6 , 15,11 , 13,7 , 9,Zak Ottow,1,1 , 4,25,1,1,33 , 47,6 , 16,37,1 , 2,1 , 2,4 , 12
"July 14, 2018",Featherweight,S-DEC,3,5:00,Rick Glenn,0,6 , 14,42,0,1,56 , 132,42 , 114,36,29 , 95,5 , 5,8 , 14,Dennis Bermudez,0,0 , 0,--,6,0,59 , 151,48 , 137,35,41 , 126,2 , 5,5 , 6
"July 14, 2018",Welterweight,KO/TKO,2,1:09,Niko Price,0,1 , 2,50,1,0,18 , 43,13 , 37,35,7 , 22,4 , 7,2 , 8,Randy Brown,0,1 , 2,50,1,0,40 , 81,12 , 39,30,2 , 23,1 , 4,9 , 12
"July 14, 2018",Featherweight,KO/TKO,1,2:52,Chad Mendes,0,0 , 0,--,0,0,3 , 12,3 , 12,25,3 , 12,0 , 0,0 , 0,Myles Jury,1,0 , 0,--,0,0,17 , 27,17 , 27,62,2 , 5,0 , 0,15 , 22
"July 14, 2018",Women's Bantamweight,U-DEC,3,5:00,Cat Zingano,0,6 , 10,60,6,0,94 , 123,33 , 57,57,12 , 23,8 , 9,13 , 25,Marion Reneau,0,0 , 0,--,0,0,35 , 62,14 , 39,35,8 , 33,6 , 6,0 , 0
"July 14, 2018",Bantamweight,U-DEC,3,5:00,Alejandro Perez,0,0 , 0,--,0,0,48 , 183,48 , 183,26,47 , 181,1 , 1,0 , 1,Eddie Wineland,0,0 , 2,0,0,0,53 , 214,53 , 214,24,52 , 212,1 , 2,0 , 0
"July 14, 2018",Featherweight,U-DEC,3,5:00,Alexander Volkanovski,0,1 , 6,16,2,3,93 , 184,82 , 172,47,67 , 148,15 , 24,0 , 0,Darren Elkins,2,2 , 12,16,1,0,103 , 147,100 , 144,69,81 , 118,18 , 25,1 , 1
"July 14, 2018",Flyweight,S-DEC,3,5:00,Said Nurmagomedov,0,0 , 1,0,1,0,32 , 87,32 , 87,36,29 , 83,2 , 2,1 , 2,Justin Scoggins,0,1 , 11,9,0,0,86 , 134,65 , 113,57,45 , 91,14 , 15,6 , 7
"July 14, 2018",Featherweight,KO/TKO,3,1:29,Raoni Barcelos,0,1 , 3,33,3,0,130 , 256,102 , 226,45,88 , 208,6 , 8,8 , 10,Kurt Holobaugh,1,3 , 4,75,1,0,95 , 160,82 , 146,56,67 , 129,8 , 9,7 , 8
"July 14, 2018",Women's Flyweight,U-DEC,3,5:00,Liz Carmouche,0,3 , 4,75,3,0,109 , 135,53 , 78,67,31 , 55,3 , 3,19 , 20,Jennifer Maia,0,0 , 0,--,0,0,55 , 118,42 , 104,40,30 , 86,10 , 16,2 , 2
"July 14, 2018",Flyweight,SUB,2,2:00,Mark De La Rosa,0,2 , 3,66,2,1,26 , 45,25 , 44,56,17 , 34,3 , 5,5 , 5,Elias Garcia,0,0 , 0,--,0,0,41 , 76,19 , 54,35,17 , 52,2 , 2,0 , 0
"July 14, 2018",Women's Strawweight,U-DEC,3,5:00,Jessica Aguilar,0,0 , 6,0,0,0,138 , 209,128 , 199,64,85 , 151,43 , 48,0 , 0,Jodie Esquibel,0,0 , 2,0,0,0,81 , 190,81 , 190,42,73 , 178,8 , 12,0 , 0
"July 07, 2018",Heavyweight,KO/TKO,1,4:33,Daniel Cormier,0,1 , 1,100,0,0,29 , 56,24 , 51,47,19 , 42,5 , 9,0 , 0,Stipe Miocic,1,0 , 0,--,1,0,31 , 43,25 , 37,67,19 , 31,2 , 2,4 , 4
"July 07, 2018",Heavyweight,U-DEC,3,5:00,Derrick Lewis,0,0 , 0,--,0,0,11 , 46,11 , 46,23,9 , 43,2 , 3,0 , 0,Francis Ngannou,0,0 , 2,0,0,0,20 , 54,20 , 54,37,18 , 52,2 , 2,0 , 0
"July 07, 2018",Welterweight,S-DEC,3,5:00,Mike Perry,0,0 , 1,0,2,0,64 , 128,56 , 120,46,48 , 110,7 , 9,1 , 1,Paul Felder,0,2 , 3,66,0,0,66 , 114,62 , 110,56,42 , 86,17 , 21,3 , 3
"July 07, 2018",Lightweight,SUB,2,0:52,Anthony Pettis,0,2 , 6,33,0,2,19 , 35,12 , 26,46,8 , 21,3 , 3,1 , 2,Michael Chiesa,0,0 , 0,--,2,0,13 , 26,9 , 22,40,7 , 19,1 , 1,1 , 2
"July 07, 2018",Light Heavyweight,KO/TKO,1,1:36,Khalil Rountree Jr.,0,0 , 0,--,0,0,5 , 11,5 , 11,45,5 , 11,0 , 0,0 , 0,Gokhan Saki,1,0 , 0,--,0,0,9 , 17,9 , 17,52,3 , 11,0 , 0,6 , 6
"July 07, 2018",Middleweight,KO/TKO,2,2:38,Paulo Costa,0,0 , 1,0,0,0,58 , 122,58 , 122,47,54 , 118,4 , 4,0 , 0,Uriah Hall,1,0 , 0,--,0,0,76 , 117,75 , 116,64,66 , 105,8 , 9,1 , 2
"July 07, 2018",Bantamweight,U-DEC,3,5:00,Raphael Assuncao,0,2 , 2,100,2,0,93 , 161,54 , 120,45,36 , 95,1 , 1,17 , 24,Rob Font,0,0 , 0,--,0,0,20 , 122,20 , 122,16,20 , 122,0 , 0,0 , 0
"July 07, 2018",Lightweight,U-DEC,3,5:00,Drakkar Klose,0,1 , 4,25,1,0,66 , 150,50 , 133,37,37 , 114,13 , 19,0 , 0,Lando Vannata,0,1 , 4,25,1,0,73 , 118,55 , 98,56,36 , 77,19 , 21,0 , 0
"July 07, 2018",Welterweight,U-DEC,3,5:00,Curtis Millender,0,1 , 1,100,1,0,40 , 96,38 , 94,40,33 , 86,3 , 6,2 , 2,Max Griffin,0,1 , 2,50,1,0,61 , 117,44 , 99,44,34 , 85,1 , 3,9 , 11
"July 07, 2018",Lightweight,KO/TKO,1,2:28,Dan Hooker,2,0 , 0,--,0,1,22 , 34,22 , 34,64,19 , 31,0 , 0,3 , 3,Gilbert Burns,0,0 , 1,0,0,0,13 , 29,13 , 28,46,13 , 28,0 , 0,0 , 0
"July 07, 2018",Women's Strawweight,U-DEC,3,5:00,Emily Whitmire,0,0 , 3,0,1,0,75 , 149,50 , 117,42,47 , 110,1 , 4,2 , 3,Jamie Moyle,0,1 , 2,50,0,0,111 , 264,53 , 183,28,40 , 164,2 , 4,11 , 15
"July 06, 2018",Middleweight,U-DEC,5,5:00,Israel Adesanya,0,1 , 12,8,0,1,46 , 181,40 , 174,22,37 , 164,1 , 8,2 , 2,Brad Tavares,0,0 , 2,0,1,0,127 , 223,119 , 215,55,99 , 192,12 , 14,8 , 9
"July 06, 2018",Lightweight,S-DEC,3,5:00,Michael Trizano,0,0 , 0,--,0,1,86 , 116,42 , 71,59,40 , 67,0 , 0,2 , 4,Joe Giannetti,0,1 , 6,16,1,0,61 , 108,29 , 75,38,27 , 69,2 , 4,0 , 2
"July 06, 2018",Featherweight,U-DEC,3,5:00,Brad Katona,0,0 , 1,0,2,0,18 , 68,14 , 64,21,13 , 60,1 , 3,0 , 1,Jay Cucciniello,0,2 , 7,28,0,0,117 , 167,71 , 111,63,50 , 81,0 , 0,21 , 30
"July 06, 2018",Featherweight,S-DEC,3,5:00,Alex Caceres,0,0 , 1,0,0,0,86 , 163,82 , 159,51,78 , 147,4 , 9,0 , 3,Martin Bravo,0,3 , 9,33,3,0,109 , 270,78 , 236,33,66 , 210,7 , 16,5 , 10
"July 06, 2018",Women's Flyweight,KO/TKO,2,3:32,Roxanne Modafferi,0,1 , 1,100,1,0,86 , 172,51 , 129,39,20 , 79,0 , 0,31 , 50,Barb Honchak,0,0 , 1,0,0,0,24 , 80,24 , 80,30,24 , 80,0 , 0,0 , 0
"July 06, 2018",Middleweight,S-DEC,3,5:00,Alessio Di Chirico,0,4 , 6,66,4,0,55 , 122,50 , 116,43,48 , 107,1 , 2,1 , 7,Julian Marquez,0,0 , 1,0,0,2,49 , 149,47 , 147,31,42 , 141,5 , 6,0 , 0
"July 06, 2018",Women's Flyweight,SUB,3,4:21,Montana De La Rosa,0,0 , 6,0,0,1,86 , 179,56 , 149,37,39 , 120,2 , 9,15 , 20,Rachael Ostovich,0,0 , 0,--,0,1,48 , 106,40 , 96,41,36 , 92,4 , 4,0 , 0
"July 06, 2018",Lightweight,SUB,1,3:32,Luis Pena,1,1 , 1,100,1,1,8 , 23,8 , 23,34,8 , 20,0 , 1,0 , 2,Richie Smullen,0,2 , 3,66,2,0,15 , 17,7 , 9,77,3 , 5,0 , 0,4 , 4
"July 06, 2018",Lightweight,M-DEC,3,5:00,John Gunther,0,8 , 19,42,8,0,94 , 152,27 , 71,38,20 , 62,5 , 7,2 , 2,Allan Zuniga,0,0 , 0,--,0,1,93 , 147,59 , 112,52,44 , 96,14 , 15,1 , 1
"July 06, 2018",Featherweight,M-DEC,3,5:00,Bryce Mitchell,0,3 , 4,75,3,1,72 , 129,51 , 107,47,20 , 62,1 , 5,30 , 40,Tyler Diamond,0,3 , 10,30,3,0,45 , 78,38 , 69,55,13 , 39,7 , 10,18 , 20
"July 06, 2018",Featherweight,S-DEC,3,5:00,Steven Peterson,0,0 , 3,0,2,1,88 , 177,57 , 141,40,45 , 125,10 , 14,2 , 2,Matt Bessette,0,2 , 6,33,0,0,115 , 220,74 , 175,42,46 , 136,16 , 25,12 , 14
"July 06, 2018",Middleweight,SUB,2,4:55,Gerald Meerschaert,0,3 , 4,75,3,2,98 , 159,51 , 104,49,9 , 43,20 , 28,22 , 33,Oskar Piechota,1,1 , 1,100,1,2,31 , 63,23 , 53,43,18 , 42,3 , 7,2 , 4
"June 23, 2018",Welterweight,U-DEC,5,5:00,Leon Edwards,0,1 , 9,11,0,0,64 , 136,60 , 131,45,48 , 115,11 , 15,1 , 1,Donald Cerrone,0,0 , 4,0,1,0,101 , 185,84 , 166,50,62 , 140,22 , 26,0 , 0
"June 23, 2018",Light Heavyweight,SUB,1,2:54,Ovince Saint Preux,0,0 , 1,0,0,1,13 , 18,7 , 12,58,4 , 8,0 , 0,3 , 4,Tyson Pedro,1,0 , 4,0,0,1,10 , 13,9 , 12,75,6 , 8,3 , 4,0 , 0
"June 23, 2018",Women's Flyweight,U-DEC,3,5:00,Jessica Eye,0,0 , 0,--,1,0,51 , 139,51 , 139,36,46 , 132,4 , 5,1 , 2,Jessica-Rose Clark,0,1 , 2,50,0,0,74 , 232,67 , 225,29,60 , 217,0 , 0,7 , 8
"June 23, 2018",Welterweight,U-DEC,3,5:00,Li Jingliang,0,0 , 0,--,0,0,96 , 206,96 , 206,46,95 , 205,1 , 1,0 , 0,Daichi Abe,0,0 , 0,--,0,0,45 , 154,45 , 154,29,45 , 153,0 , 1,0 , 0
"June 23, 2018",Bantamweight,KO/TKO,1,3:28,Petr Yan,0,0 , 2,0,0,0,11 , 30,11 , 30,36,9 , 28,2 , 2,0 , 0,Teruto Ishihara,2,0 , 0,--,0,0,29 , 45,25 , 40,62,19 , 31,1 , 1,5 , 8
"June 23, 2018",Bantamweight,KO/TKO,2,4:59,Song Yadong,0,0 , 2,0,1,1,9 , 32,8 , 31,25,8 , 31,0 , 0,0 , 0,Felipe Arantes,1,1 , 1,100,0,0,88 , 155,39 , 100,39,14 , 63,4 , 5,21 , 32
"June 23, 2018",Featherweight,KO/TKO,2,4:40,Shane Young,0,0 , 0,--,1,0,58 , 153,57 , 152,37,49 , 140,8 , 12,0 , 0,Rolando Dy,0,1 , 5,20,0,0,116 , 230,104 , 215,48,89 , 191,15 , 24,0 , 0
"June 23, 2018",Welterweight,KO/TKO,2,4:45,Song Kenan,1,0 , 0,--,0,0,34 , 76,32 , 71,45,27 , 64,0 , 0,5 , 7,Hector Aldana,0,2 , 2,100,2,0,41 , 92,39 , 90,43,38 , 89,0 , 0,1 , 1
"June 23, 2018",Welterweight,SUB,1,2:44,Jake Matthews,0,0 , 1,0,1,1,6 , 13,1 , 5,20,0 , 4,1 , 1,0 , 0,Shinsho Anzai,0,1 , 1,100,0,0,18 , 25,12 , 19,63,5 , 8,5 , 8,2 , 3
"June 23, 2018",Women's Strawweight,U-DEC,3,5:00,Yan Xiaonan,0,0 , 0,--,0,0,44 , 212,44 , 212,20,43 , 210,1 , 2,0 , 0,Viviane Pereira,0,0 , 0,--,0,0,71 , 227,71 , 227,31,71 , 226,0 , 1,0 , 0
"June 23, 2018",Flyweight,S-DEC,3,5:00,Matt Schnell,0,0 , 1,0,0,0,79 , 192,71 , 183,38,68 , 177,3 , 6,0 , 0,Naoki Inoue,0,0 , 1,0,0,0,64 , 212,48 , 196,24,42 , 190,6 , 6,0 , 0
"June 23, 2018",Flyweight,SUB,2,4:04,Yuta Sasaki,0,0 , 0,--,5,1,9 , 16,7 , 14,50,5 , 12,0 , 0,2 , 2,Jenel Lausa,0,5 , 7,71,0,0,34 , 66,25 , 56,44,6 , 17,4 , 5,15 , 34
"June 23, 2018",Women's Flyweight,S-DEC,3,5:00,Ji Yeon Kim,0,0 , 0,--,0,0,93 , 261,73 , 241,30,52 , 215,21 , 26,0 , 0,Melinda Fabian,0,0 , 1,0,0,0,79 , 180,72 , 173,41,66 , 154,6 , 19,0 , 0
"June 09, 2018",Middleweight,S-DEC,5,5:00,Robert Whittaker,0,0 , 1,0,0,0,129 , 328,128 , 326,39,119 , 308,9 , 17,0 , 1,Yoel Romero,2,3 , 10,30,3,0,149 , 287,111 , 240,46,66 , 177,25 , 40,20 , 23
"June 09, 2018",Welterweight,U-DEC,5,5:00,Colby Covington,0,3 , 6,50,7,0,130 , 223,105 , 198,53,70 , 163,32 , 32,3 , 3,Rafael Dos Anjos,0,7 , 18,38,3,0,142 , 346,99 , 296,33,90 , 278,8 , 16,1 , 2
"June 09, 2018",Women's Featherweight,U-DEC,3,5:00,Holly Holm,0,4 , 8,50,4,1,143 , 176,47 , 71,66,19 , 35,8 , 10,20 , 26,Megan Anderson,0,0 , 0,--,0,0,48 , 81,26 , 58,44,19 , 48,7 , 10,0 , 0
"June 09, 2018",Heavyweight,U-DEC,3,5:00,Tai Tuivasa,0,0 , 2,0,0,0,52 , 126,51 , 125,40,46 , 116,5 , 7,0 , 2,Andrei Arlovski,1,0 , 0,--,0,0,54 , 120,54 , 120,45,49 , 109,5 , 11,0 , 0
"June 09, 2018",Welterweight,U-DEC,3,5:00,Mike Jackson,0,1 , 9,11,1,0,56 , 129,19 , 81,23,10 , 67,7 , 11,2 , 3,CM Punk,0,1 , 1,100,1,0,129 , 177,64 , 108,59,32 , 66,14 , 16,18 , 26
"June 09, 2018",Heavyweight,KO/TKO,3,2:56,Curtis Blaydes,0,0 , 0,--,4,0,24 , 31,7 , 12,58,6 , 10,0 , 0,1 , 2,Alistair Overeem,0,4 , 4,100,0,2,62 , 85,37 , 53,69,3 , 16,12 , 14,22 , 23
"June 09, 2018",Women's Strawweight,S-DEC,3,5:00,Claudia Gadelha,0,4 , 5,80,4,1,78 , 124,26 , 64,40,22 , 57,1 , 2,3 , 5,Carla Esparza,0,2 , 4,50,2,0,205 , 288,43 , 103,41,28 , 79,7 , 12,8 , 12
"June 09, 2018",Featherweight,S-DEC,3,5:00,Mirsad Bektic,0,0 , 4,0,2,0,69 , 97,34 , 62,54,15 , 40,19 , 20,0 , 2,Ricardo Lamas,0,2 , 4,50,0,2,97 , 174,31 , 89,34,15 , 62,14 , 23,2 , 4
